From_Station,To_Station,Bikes_Moved
221,71,492
221,190,2913
221,443,882
126,343,1180
187,537,3242
269,550,4630
641,264,1009
641,487,1867
641,545,1763
179,211,3188
179,173,1357
179,464,103
702,398,617
702,411,932
702,639,3100
238,180,2978
186,168,1701
688,305,1262
147,412,461
147,337,617
147,217,2463
298,472,2610
495,19,217
228,178,103
245,220,2349
245,585,2378
170,616,2968
234,359,160
148,603,2245
279,716,752
279,583,2155
279,440,1661
279,591,197
418,354,366
257,573,420
149,50,265
149,325,364
149,527,40
174,175,2126
223,549,4367
265,119,2474
278,197,3172
278,483,1654
158,186,2833
172,191,2767
272,15,308
272,250,418
272,143,415
272,673,774
272,433,781
272,700,2143
214,604,1024
214,599,3821
132,98,316
132,176,62
132,636,1251
191,430,895
165,521,579
224,698,2085
156,693,1536
436,23,230
436,224,2496
436,280,2185
432,183,702
432,185,949
432,570,3265
140,604,252
247,568,1020
247,214,2215
162,128,2202
280,338,896
280,461,4089
426,328,569
426,33,162
426,327,442
426,321,883
426,330,934
426,322,1690
426,323,310
175,31,288
450,80,443
268,188,407
268,618,4603
677,6,425
677,633,416
677,622,4194
289,474,70
289,601,1968
243,565,3502
419,47,498
419,482,1568
419,542,1192
419,560,1804
195,730,388
195,160,268
195,585,1061
696,7,366
535,202,1262
535,436,1402
535,468,1247
535,578,1188
674,429,872
674,428,246
674,467,2296
674,463,409
674,471,1284
244,534,3421
169,120,2452
236,215,1845
673,358,273
673,39,234
673,379,626
673,385,783
673,378,498
673,342,410
673,348,1363
673,396,951
691,195,74
691,544,5072
710,320,211
232,602,4741
176,157,665
176,520,4284
273,309,1580
273,147,357
273,450,738
273,504,2527
242,687,2194
288,694,746
180,367,416
675,515,1753
675,516,1800
675,442,1445
675,505,261
698,308,1138
698,665,1913
509,661,3687
719,21,277
719,702,948
719,490,149
719,586,3893
437,697,761
177,347,1342
177,448,2862
154,722,350
120,57,431
120,473,3735
678,145,1915
712,266,260
712,484,2602
190,27,77
190,45,328
190,85,1305
155,301,1483
253,706,2258
182,513,2279
433,337,789
433,261,1873
433,259,2720
468,564,4005
281,35,376
281,548,2127
281,488,620
281,681,2286
267,726,45
267,725,182
267,89,540
267,90,203
267,87,1197
267,73,654
267,727,327
267,75,325
267,84,764
267,81,910
267,731,186
267,588,90
658,376,223
455,523,3313
455,624,2146
546,669,230
546,695,1136
546,649,2979
583,236,1795
583,508,2023
647,59,98
647,683,901
684,171,1338
689,498,4702
711,195,3057
282,422,888
282,270,757
282,209,412
282,148,74
282,175,543
282,476,2837
181,36,64
181,4,323
181,368,400
181,363,690
181,365,548
181,392,345
181,720,1339
181,397,1053
548,597,2204
713,505,5532
196,718,562
670,167,1354
670,179,155
670,169,617
670,166,1313
670,273,1877
670,654,250
708,139,1231
708,679,2216
687,271,828
480,146,37
676,517,1758
676,632,3928
547,641,948
453,414,825
453,590,679
453,609,4194
686,465,2859
565,285,322
565,485,3309
494,179,1328
494,497,4400
705,634,393
515,449,511
141,588,16
141,552,4311
539,78,759
672,29,203
672,225,1561
672,293,632
672,290,2015
672,256,1436
438,357,372
438,362,546
438,314,412
438,317,1394
438,354,1225
438,306,270
438,272,1628
567,623,2479
443,212,2020
443,201,2040
443,246,1832
466,501,1477
197,488,1172
458,608,1803
617,291,1755
671,204,2347
671,205,2209
671,206,1430
612,561,2212
457,269,1043
457,663,2605
185,384,730
514,526,4922
603,253,1395
603,196,940
603,580,2709
445,40,378
445,222,3443
499,621,1732
454,91,730
454,92,896
454,96,518
454,93,1869
454,474,2120
610,282,2031
610,626,406
444,37,361
488,471,1269
488,625,4900
440,437,1522
440,566,1448
549,655,3424
446,557,3088
446,542,2338
446,573,804
483,671,994
703,162,2117
703,181,4015
456,244,1407
456,242,2413
456,626,2415
552,710,568
552,656,2859
682,161,2235
493,99,513
493,134,551
493,567,1110
493,519,4099
557,402,738
490,709,423
490,311,682
490,255,141
490,686,1067
490,574,3983
589,491,2233
485,55,248
485,401,474
485,499,2736
439,394,915
492,405,791
492,188,1909
492,495,1426
492,566,2233
472,335,1406
472,713,1671
472,506,3293
648,612,2074
648,610,1036
469,381,478
469,630,2777
489,595,3775
489,634,2646
460,500,599
460,296,353
460,547,3194
460,493,2290
461,51,461
461,136,1209
